"cont_id","cnt_relation","cnt_hospital"
"1502_2",1,FALSE
"1503_1",1,FALSE
"1503_2",1,FALSE
"1505_1",1,FALSE
"1505_2",1,FALSE
"1505_3",1,FALSE
"1506_1",1,FALSE
"1506_2",1,FALSE
"1507_1",1,FALSE
"1508_1",1,FALSE
"1508_2",1,FALSE
"1508_3",1,FALSE
"1509_1",1,FALSE
"1510_1",1,FALSE
"1511_1",1,FALSE
"1512_1",1,FALSE
"1512_2",1,FALSE
"1514_1",1,FALSE
"1514_2",1,FALSE
"1515_1",1,FALSE
"1515_2",1,FALSE
"1516_1",3,FALSE
"1517_1",3,FALSE
"1517_2",3,FALSE
"1518_1",1,FALSE
"1519_1",1,FALSE
"1520_1",1,FALSE
"1520_2",1,FALSE
"1521_1",1,FALSE
"1522_1",1,FALSE
"1522_2",1,FALSE
"1523_1",3,FALSE
"1524_1",1,FALSE
"1525_1",1,FALSE
"1526_1",1,FALSE
"1526_2",1,FALSE
"1527_1",3,FALSE
"1528_1",1,FALSE
"1528_2",1,NA
"1529_1",1,FALSE
"1529_2",1,FALSE
"1529_3",1,FALSE
"1530_1",1,FALSE
"1531_1",1,FALSE
"1531_2",1,FALSE
"1533_1",1,FALSE
"1533_2",1,FALSE
"1534_1",1,FALSE
"1535_1",1,FALSE
"1536_1",1,FALSE
"1538_1",1,FALSE
"1538_2",1,FALSE
"1538_3",1,FALSE
"1539_1",3,FALSE
"1540_1",1,FALSE
"1541_1",1,FALSE
"1541_2",1,FALSE
"1542_1",1,FALSE
"1543_1",1,FALSE
"1543_2",1,FALSE
"1544_1",1,FALSE
"1544_2",1,FALSE
"1546_1",1,FALSE
"1546_2",1,FALSE
"1547_1",1,FALSE
"1547_2",1,FALSE
"1547_3",1,FALSE
"1547_4",1,FALSE
"1549_1",1,FALSE
"1550_1",1,FALSE
"1550_2",1,FALSE
"1551_1",1,FALSE
"1551_2",1,FALSE
"1552_1",1,FALSE
"1552_2",1,FALSE
"1553_1",1,FALSE
"1554_1",1,FALSE
"1555_1",1,FALSE
"1555_2",1,FALSE
"1556_1",1,FALSE
"1556_2",1,FALSE
"1557_1",1,FALSE
"1557_2",1,FALSE
"1557_3",1,FALSE
"1557_4",1,FALSE
"1558_1",1,FALSE
"1558_2",1,FALSE
