cont_id,cnt_outside_other,cnt_otheryn,cnt_public_market,cnt_other_house,cnt_worship,cnt_supermarket,cnt_shop,individually_reported,cnt_gender_all,frequency_multi_all
123950003,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Female,Every day or almost every day
124020006,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Female,Every day or almost every day
126880006,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Female,Every day or almost every day
127820002,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Female,Every day or almost every day
128330002,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Female,Every day or almost every day
128330003,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Female,Every day or almost every day
128330004,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Female,Every day or almost every day
128330005,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Female,Every day or almost every day
128330006,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Female,Every day or almost every day
132390003,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Female,Every day or almost every day
132390004,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Female,Every day or almost every day
133020001,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Female,Every day or almost every day
133020002,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Female,Every day or almost every day
133020003,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Female,Every day or almost every day
133020004,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Female,Every day or almost every day
133020005,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Female,Every day or almost every day
133020006,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Female,Every day or almost every day
133020007,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Female,Every day or almost every day
134700001,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Female,Every day or almost every day
135150002,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Female,Every day or almost every day
135150003,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Female,Every day or almost every day
170540002,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Female,Every day or almost every day
121330005,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Female,Every day or almost every day
126210007,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Female,Every day or almost every day
131420016,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Female,Every day or almost every day
123390004,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Female,Every day or almost every day
126210008,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Female,Every day or almost every day
122640005,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Female,Every day or almost every day
122640006,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Female,Every day or almost every day
122640007,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Female,Every day or almost every day
122640008,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Female,Every day or almost every day
121330006,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Female,Every day or almost every day
132390005,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Female,Every day or almost every day
129090002,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Female,Less often than once per month
125450002,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Female,Never met them before
125450003,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Female,Prefer not to answer
123950004,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Female,Prefer not to answer
124120001,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Female,Prefer not to answer
124120002,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Female,Prefer not to answer
134640001,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Female,Prefer not to answer
129630001,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,In another way,Every day or almost every day
128950002,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Male,About once or twice a week
121600002,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Male,About once or twice a week
127430001,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Male,About once or twice a week
132290003,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Male,About once or twice a week
