Country,Week,Setting,Variable,Category,Mean,SE,Q25,Q50,Q75
ES,W14,4-Work,HH size,4p,0.84988854,0.298691475,0,0,0
ES,W14,4-Work,HH size,5p,1.014284989,0.633513832,0,0,0
ES,W14,4-Work,HH size,6p+,0.824656842,0.515944712,0,0,0
ES,W13,5-Community,Sex,Females,0.549347179,0.063284276,0,0,0
ES,W13,5-Community,Sex,Males,0.578598606,0.107426502,0,0,0
ES,W14,5-Community,Sex,Females,0.430179548,0.046112722,0,0,0
ES,W14,5-Community,Sex,Males,0.558048189,0.077315127,0,0,1
ES,W13,5-Community,Age group,18-29y,0.501812606,0.145485348,0,0,0
ES,W13,5-Community,Age group,30-39y,0.548564783,0.127901936,0,0,0.16942611
ES,W13,5-Community,Age group,40-49y,0.653435893,0.166734969,0,0,0
ES,W13,5-Community,Age group,50-59y,0.624572825,0.14331343,0,0,1
ES,W13,5-Community,Age group,60y+,0.531929452,0.103375874,0,0,0.708312465
ES,W14,5-Community,Age group,18-29y,0.455350573,0.117849067,0,0,0
ES,W14,5-Community,Age group,30-39y,0.3694173,0.07867456,0,0,0
ES,W14,5-Community,Age group,40-49y,0.369674153,0.07641835,0,0,0
ES,W14,5-Community,Age group,50-59y,0.728742368,0.122126082,0,0,1
ES,W14,5-Community,Age group,60y+,0.508169076,0.076858248,0,0,0
ES,W13,5-Community,HH size,1p,0.852467578,0.235662655,0,0,1
ES,W13,5-Community,HH size,2p,0.403022542,0.069031042,0,0,0
ES,W13,5-Community,HH size,3p,0.461642662,0.102684367,0,0,0
ES,W13,5-Community,HH size,4p,0.702672324,0.182897319,0,0,0
ES,W13,5-Community,HH size,5p,0.612103039,0.21217111,0,0,1
ES,W13,5-Community,HH size,6p+,0.961645056,0.245103514,0,1,1
ES,W14,5-Community,HH size,1p,0.461358199,0.086833943,0,0,1
ES,W14,5-Community,HH size,2p,0.567996052,0.076151173,0,0,0
ES,W14,5-Community,HH size,3p,0.438269439,0.102193495,0,0,0
ES,W14,5-Community,HH size,4p,0.512422517,0.102969751,0,0,1
ES,W14,5-Community,HH size,5p,0.205945113,0.091818498,0,0,0
ES,W14,5-Community,HH size,6p+,0.989742384,0.488639885,0,0,1
FR,W13,1-Overall,Sex,Females,2.320165894,0.131776746,1,1,3
FR,W13,1-Overall,Sex,Males,2.21328579,0.235320301,0,1,3
FR,W14,1-Overall,Sex,Females,2.512957624,0.148401753,1,2,3
FR,W14,1-Overall,Sex,Males,2.749442035,0.285977905,0,2,3
FR,W13,1-Overall,Age group,18-29y,2.634491272,0.34621162,1,1.900388871,3
FR,W13,1-Overall,Age group,30-39y,3.252868643,0.486507747,1,3,4
FR,W13,1-Overall,Age group,40-49y,3.074935287,0.450521471,1,2,4
FR,W13,1-Overall,Age group,50-59y,3.080041213,0.370624762,1,2,4
FR,W13,1-Overall,Age group,60y+,1.361787824,0.092733016,0,1,2
FR,W14,1-Overall,Age group,18-29y,2.385123705,0.193956714,1,2,3
FR,W14,1-Overall,Age group,30-39y,3.830204887,0.553208473,1,2,4
FR,W14,1-Overall,Age group,40-49y,4.368157898,0.691713527,1,3,4
FR,W14,1-Overall,Age group,50-59y,3.12293848,0.456582027,1,2,3
FR,W14,1-Overall,Age group,60y+,1.345670854,0.117257973,0,1,2
FR,W13,1-Overall,HH size,1p,1.320190062,0.234750992,0,0,1
FR,W13,1-Overall,HH size,2p,2.284193229,0.196551078,1,1,2
FR,W13,1-Overall,HH size,3p,2.758290696,0.22928186,2,2,3
FR,W13,1-Overall,HH size,4p,3.464998845,0.251558979,3,3,4
FR,W13,1-Overall,HH size,5p,4.235314575,0.571973407,4,4,4
FR,W13,1-Overall,HH size,6p+,3.676468459,0.269764478,3,4,4
FR,W14,1-Overall,HH size,1p,1.329149017,0.265928326,0,0,1
FR,W14,1-Overall,HH size,2p,2.247533798,0.224652975,1,1,2
FR,W14,1-Overall,HH size,3p,3.468461977,0.430249843,2,2,3
FR,W14,1-Overall,HH size,4p,4.71827793,0.484780486,3,3,4
FR,W14,1-Overall,HH size,5p,5.191550586,0.509266254,4,4,5
FR,W14,1-Overall,HH size,6p+,2.961911195,1.11172152,0,1,3
FR,W13,2-Home,Sex,Females,1.277665779,0.04928885,0,1,2
FR,W13,2-Home,Sex,Males,1.126293723,0.081014398,0,1,2
FR,W14,2-Home,Sex,Females,1.412932153,0.052072436,1,1,2
FR,W14,2-Home,Sex,Males,1.299004259,0.084288117,0,1,2
FR,W13,2-Home,Age group,18-29y,1.463782411,0.127194596,0,1,2
FR,W13,2-Home,Age group,30-39y,1.555978084,0.153332462,0,1,3
FR,W13,2-Home,Age group,40-49y,1.752007902,0.146526038,1,2,3
FR,W13,2-Home,Age group,50-59y,1.303994624,0.095159827,0,1,2
FR,W13,2-Home,Age group,60y+,0.853591139,0.056007798,0,1,1
FR,W14,2-Home,Age group,18-29y,1.603063712,0.10360261,1,1,3
FR,W14,2-Home,Age group,30-39y,1.56976499,0.119441952,0,1,3
FR,W14,2-Home,Age group,40-49y,1.76070868,0.140589432,0,2,3
FR,W14,2-Home,Age group,50-59y,1.393016804,0.104500101,1,1,2
FR,W14,2-Home,Age group,60y+,0.84205296,0.067859292,0,1,1
FR,W13,2-Home,HH size,1p,0.268277373,0.046203331,0,0,0
FR,W13,2-Home,HH size,2p,1.115177372,0.042681844,1,1,1
FR,W13,2-Home,HH size,3p,1.962405483,0.099946919,2,2,2
FR,W13,2-Home,HH size,4p,2.859125642,0.149389593,3,3,4
FR,W13,2-Home,HH size,5p,3.405552986,0.301086779,4,4,4
FR,W13,2-Home,HH size,6p+,3.676468459,0.269764478,3,4,4
FR,W14,2-Home,HH size,1p,0.246805013,0.044686478,0,0,0
FR,W14,2-Home,HH size,2p,1.030735519,0.04236606,1,1,1
FR,W14,2-Home,HH size,3p,2.058025724,0.070413919,2,2,2
FR,W14,2-Home,HH size,4p,3.094587007,0.088882484,3,3,4
FR,W14,2-Home,HH size,5p,3.735224796,0.174354514,4,4,4
FR,W14,2-Home,HH size,6p+,1.431239686,0.714788149,0,0,2
FR,W13,3-School,Sex,Females,0,0,0,0,0
FR,W13,3-School,Sex,Males,0,0,0,0,0
FR,W14,3-School,Sex,Females,0,0,0,0,0
FR,W14,3-School,Sex,Males,0,0,0,0,0
FR,W13,3-School,Age group,18-29y,0,0,0,0,0
FR,W13,3-School,Age group,30-39y,0,0,0,0,0
FR,W13,3-School,Age group,40-49y,0,0,0,0,0
FR,W13,3-School,Age group,50-59y,0,0,0,0,0
FR,W13,3-School,Age group,60y+,0,0,0,0,0
FR,W14,3-School,Age group,18-29y,0,0,0,0,0
FR,W14,3-School,Age group,30-39y,0,0,0,0,0
FR,W14,3-School,Age group,40-49y,0,0,0,0,0
FR,W14,3-School,Age group,50-59y,0,0,0,0,0
FR,W14,3-School,Age group,60y+,0,0,0,0,0
FR,W13,3-School,HH size,1p,0,0,0,0,0
