RespondentID,agecat,household_N,conversation_N,language,conv_no_mask,date,natcat,place_of_contact
11449728076,35-44,4,1,FR,,26-Mar-20,,
11449728626,25-34,3,0,FR,,26-Mar-20,,
11449729887,35-44,5 ou plus,0,FR,,26-Mar-20,,
11449733898,45-54,0,1,FR,,26-Mar-20,,
11449740852,35-44,2,0,FR,,26-Mar-20,,
11449741622,35-44,1,0,FR,,26-Mar-20,,
11449742551,45-54,4,0,FR,,26-Mar-20,,
11449746182,45-54,3,3,FR,,26-Mar-20,,
11449748671,18-24,3,1,FR,,26-Mar-20,,
11449759877,55-64,3,0,FR,,26-Mar-20,,
11449781286,55-64,1,1,FR,,26-Mar-20,,
11449785774,55-64,1,0,FR,,26-Mar-20,,
11449785861,35-44,3,0,FR,,26-Mar-20,,
11449790471,35-44,2,0,FR,,26-Mar-20,,
11449791775,45-54,3,0,FR,,26-Mar-20,,
11449792769,25-34,0,0,FR,,26-Mar-20,,
11449792967,45-54,3,0,FR,,26-Mar-20,,
11449801501,25-34,0,0,FR,,26-Mar-20,,
11449805669,45-54,5 ou plus,0,FR,,26-Mar-20,,
11449806434,45-54,1,0,FR,,26-Mar-20,,
11449807859,25-34,2,1,FR,,26-Mar-20,,
11449809398,35-44,5 ou plus,0,FR,,26-Mar-20,,
11449812494,35-44,2,0,FR,,26-Mar-20,,
11449828206,35-44,3,0,FR,,26-Mar-20,,
11449840846,35-44,1,0,FR,,26-Mar-20,,
11449847913,35-44,1,1,FR,,26-Mar-20,,
11449852671,35-44,0,0,FR,,26-Mar-20,,
11449865868,25-34,1,0,FR,,26-Mar-20,,
11449866009,45-54,3,3,FR,,26-Mar-20,,
11449867345,35-44,0,2,FR,,26-Mar-20,,
11449871154,45-54,3,0,FR,,26-Mar-20,,
11449880799,35-44,5 ou plus,0,FR,,26-Mar-20,,
11449882572,35-44,4,0,FR,,26-Mar-20,,
11449883506,18-24,1,10 ou plus,FR,,26-Mar-20,,
11449885507,35-44,3,0,FR,,26-Mar-20,,
11449885958,35-44,3,4,FR,,26-Mar-20,,
11449888444,25-34,0,0,FR,,26-Mar-20,,
11449892277,35-44,2,2,FR,,26-Mar-20,,
11449892282,25-34,2,1,FR,,26-Mar-20,,
11449900994,25-34,5 ou plus,1,FR,,26-Mar-20,,
11449914801,35-44,3,0,FR,,26-Mar-20,,
11449916067,45-54,2,0,FR,,26-Mar-20,,
11449921320,35-44,5 ou plus,1,FR,,26-Mar-20,,
11449922908,55-64,3,0,FR,,26-Mar-20,,
11449924751,25-34,3,0,FR,,26-Mar-20,,
11449930761,35-44,2,0,FR,,26-Mar-20,,
11449931670,25-34,2,1,FR,,26-Mar-20,,
11449944731,25-34,1,0,FR,,26-Mar-20,,
11449946359,35-44,3,1,FR,,26-Mar-20,,
11449952203,,4,0,FR,,26-Mar-20,,
11449961356,45-54,3,0,FR,,26-Mar-20,,
11449965545,35-44,3,0,FR,,26-Mar-20,,
11449966801,35-44,3,1,FR,,26-Mar-20,,
11449967081,65-74,0,0,FR,,26-Mar-20,,
11449972052,25-34,3,0,FR,,26-Mar-20,,
11450003979,45-54,4,2,FR,,26-Mar-20,,
11450018656,35-44,3,1,FR,,26-Mar-20,,
11450028159,25-34,3,0,FR,,26-Mar-20,,
11450030344,55-64,0,2,FR,,26-Mar-20,,
11450033722,25-34,0,0,FR,,26-Mar-20,,
11450036663,25-34,2,0,FR,,26-Mar-20,,
11450039193,45-54,2,0,FR,,26-Mar-20,,
